epoch,step,train_acc,train_loss
0,49,0.0,3.5786592960357666
1,99,0.0,3.5573904514312744
1,149,0.0,3.29528546333313
2,199,0.03125,3.371825933456421
2,249,0.0625,3.3444323539733887
3,299,0.15625,2.8542091846466064
3,349,0.125,2.942110776901245
4,399,0.03125,3.051450729370117
4,449,0.03125,3.2144477367401123
5,499,0.1875,2.827906608581543
5,549,0.0625,2.7258729934692383
6,599,0.125,2.4083268642425537
6,649,0.0625,2.7307345867156982
7,699,0.15625,2.72383713722229
7,749,0.125,2.6524839401245117
8,799,0.1875,2.775010347366333
8,849,0.15625,2.8114399909973145
9,899,0.28125,2.4573843479156494
9,949,0.09375,2.6939306259155273
10,999,0.1875,2.3910410404205322
10,1049,0.25,2.9934091567993164
11,1099,0.21875,2.3565073013305664
11,1149,0.3125,2.329270362854004
12,1199,0.28125,2.011098861694336
12,1249,0.34375,2.044968605041504
13,1299,0.25,2.187067747116089
13,1349,0.46875,2.187293529510498
14,1399,0.28125,2.195202350616455
14,1449,0.15625,2.345447540283203
15,1499,0.34375,1.817549467086792
