epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7853,1.30255,3.38764,1.53018,0.23445,0.40303,0.20524,0.13254,1.25383,2.93388,1.46467,0.000100137,0.000100137,0.000100137
2,124.23,1.2086,2.32733,1.40163,0.35695,0.34791,0.27258,0.17802,1.23268,2.23347,1.45678,0.00019118,0.00019118,0.00019118
3,183.973,1.2242,2.10656,1.40159,0.2944,0.43948,0.278,0.17715,1.26473,2.12134,1.49685,0.000272225,0.000272225,0.000272225
4,242.069,1.19744,1.95967,1.39438,0.40165,0.4577,0.38786,0.25553,1.25048,1.82977,1.44667,0.000258004,0.000258004,0.000258004
5,299.832,1.17985,1.7876,1.3962,0.42,0.43252,0.39573,0.26297,1.24711,1.73476,1.49492,0.000243006,0.000243006,0.000243006
6,356.701,1.16703,1.71214,1.37411,0.46496,0.41783,0.41814,0.27686,1.23387,1.66173,1.45587,0.000228007,0.000228007,0.000228007
7,413.975,1.14589,1.57979,1.35859,0.46834,0.46891,0.45335,0.3015,1.22143,1.61851,1.42116,0.000213009,0.000213009,0.000213009
8,471.898,1.12737,1.44729,1.33508,0.51742,0.44416,0.45521,0.31232,1.18467,1.66043,1.42927,0.00019801,0.00019801,0.00019801
9,529.493,1.09722,1.35715,1.31722,0.48775,0.4994,0.48102,0.33205,1.20786,1.52858,1.39877,0.000183012,0.000183012,0.000183012
10,586.857,1.08393,1.31001,1.3112,0.51671,0.48222,0.4926,0.33646,1.20414,1.57641,1.41712,0.000168013,0.000168013,0.000168013
11,645.041,1.05173,1.30919,1.32406,0.51386,0.5041,0.49463,0.33951,1.20014,1.43872,1.43491,0.000153015,0.000153015,0.000153015
12,701.952,1.02324,1.21531,1.2999,0.51471,0.50155,0.5084,0.34804,1.1815,1.47742,1.4042,0.000138016,0.000138016,0.000138016
13,762.41,1.00176,1.1057,1.27525,0.57484,0.50504,0.53497,0.37721,1.161,1.38137,1.3826,0.000123018,0.000123018,0.000123018
14,822.992,0.98635,1.03399,1.25705,0.59413,0.51683,0.54297,0.37548,1.17541,1.3943,1.40202,0.000108019,0.000108019,0.000108019
15,883.344,0.97031,0.96773,1.26211,0.60745,0.48391,0.52783,0.36478,1.17613,1.37958,1.41913,9.3021e-05,9.3021e-05,9.3021e-05
16,943.75,0.94068,0.8921,1.23531,0.57637,0.53658,0.54281,0.37295,1.16447,1.31905,1.39369,7.80225e-05,7.80225e-05,7.80225e-05
17,1004.2,0.91238,0.80888,1.20923,0.56515,0.5278,0.55121,0.38326,1.15523,1.30661,1.39531,6.3024e-05,6.3024e-05,6.3024e-05
18,1058.39,0.90485,0.75232,1.2017,0.61362,0.53215,0.55944,0.38793,1.16093,1.29193,1.37857,4.80255e-05,4.80255e-05,4.80255e-05
19,1112.07,0.87681,0.69689,1.17038,0.62377,0.52597,0.56449,0.39688,1.15907,1.31637,1.39504,3.3027e-05,3.3027e-05,3.3027e-05
20,1165.89,0.85324,0.65754,1.16305,0.60766,0.52711,0.55618,0.39089,1.15374,1.32684,1.39419,1.80285e-05,1.80285e-05,1.80285e-05
