epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6685,1.09015,2.54296,1.28903,0.66196,0.61371,0.64701,0.43473,1.08863,1.35845,1.25316,0.000138721,0.000138721,0.000138721
2,138.962,1.12454,1.76007,1.31902,0.67097,0.55918,0.62421,0.41126,1.15213,1.40303,1.31753,0.000263974,0.000263974,0.000263974
3,204.566,1.14763,1.72182,1.33716,0.63498,0.58771,0.61729,0.40594,1.16513,1.40206,1.32031,0.000375466,0.000375466,0.000375466
4,268.194,1.15565,1.63777,1.33774,0.71321,0.56736,0.63783,0.42073,1.16463,1.35943,1.31837,0.000355076,0.000355076,0.000355076
5,334.778,1.13456,1.55477,1.32578,0.6995,0.59821,0.65894,0.44274,1.13425,1.29737,1.28666,0.000334434,0.000334434,0.000334434
6,396.051,1.11768,1.48932,1.31293,0.69386,0.61295,0.66869,0.44524,1.13342,1.24732,1.28209,0.000313792,0.000313792,0.000313792
7,457.425,1.10117,1.42956,1.30094,0.72413,0.61016,0.68107,0.45913,1.11456,1.23798,1.27605,0.000293151,0.000293151,0.000293151
8,521.034,1.09156,1.35811,1.28876,0.73205,0.6227,0.705,0.47923,1.1107,1.17364,1.26912,0.000272509,0.000272509,0.000272509
9,584.397,1.07412,1.31866,1.27539,0.73875,0.61578,0.70063,0.4851,1.07876,1.15718,1.24579,0.000251868,0.000251868,0.000251868
10,646.982,1.06138,1.28585,1.26963,0.72506,0.6383,0.70281,0.49054,1.08047,1.14602,1.24566,0.000231226,0.000231226,0.000231226
11,710.114,1.06062,1.21489,1.27014,0.72449,0.64128,0.70222,0.48654,1.08304,1.14995,1.24587,0.000210585,0.000210585,0.000210585
12,772.045,1.03586,1.13892,1.25177,0.72277,0.6463,0.70935,0.492,1.09242,1.12802,1.24174,0.000189943,0.000189943,0.000189943
13,836.135,1.02,1.07891,1.23674,0.74335,0.65183,0.72398,0.50686,1.07563,1.1013,1.2394,0.000169302,0.000169302,0.000169302
14,896.73,0.99766,1.03493,1.22556,0.77075,0.64581,0.73609,0.52408,1.05508,1.06925,1.22194,0.00014866,0.00014866,0.00014866
15,956.804,0.9835,1.00161,1.21314,0.77908,0.65156,0.74177,0.52883,1.03535,1.04857,1.21084,0.000128019,0.000128019,0.000128019
16,1016.95,0.96796,0.9568,1.19743,0.80227,0.64448,0.74949,0.53827,1.03194,1.02687,1.20909,0.000107378,0.000107378,0.000107378
17,1076.87,0.95179,0.92808,1.18725,0.78619,0.67377,0.75577,0.54347,1.02765,1.01509,1.20377,8.6736e-05,8.6736e-05,8.6736e-05
18,1136.86,0.93005,0.88891,1.17041,0.7731,0.68333,0.76048,0.55144,1.01317,0.99389,1.20117,6.60945e-05,6.60945e-05,6.60945e-05
19,1194.8,0.91393,0.86738,1.15939,0.77237,0.68544,0.76254,0.55163,1.01147,0.98879,1.19219,4.5453e-05,4.5453e-05,4.5453e-05
20,1252.74,0.90751,0.84641,1.15232,0.80871,0.6713,0.76614,0.55607,1.00952,0.98005,1.19099,2.48115e-05,2.48115e-05,2.48115e-05
